txn_id,from_account,to_account,amount_inr,timestamp,reference
TXN-0037,ACC-NEW-3615,ACC-NEW-5371,20550,2025-07-14 16:00:00,INV-NEW
TXN-0038,ACC-NEW-4593,ACC-NEW-3646,645320,2025-07-13 20:00:00,INV-NEW
TXN-0039,ACC-NEW-4657,ACC-NEW-3646,141950,2025-07-08 19:00:00,INV-NEW
TXN-0040,ACC-NEW-2584,ACC-NEW-2824,746710,2025-07-07 14:00:00,INV-NEW
TXN-0041,ACC-NEW-1488,ACC-NEW-4598,266930,2025-08-01 17:00:00,INV-NEW
TXN-0042,ACC-NEW-5803,ACC-NEW-6925,8720,2025-07-21 14:00:00,INV-NEW
TXN-0043,ACC-NEW-1771,ACC-NEW-5315,556290,2025-07-24 16:00:00,INV-NEW
TXN-0044,ACC-NEW-1711,ACC-NEW-4432,308770,2025-07-26 15:00:00,INV-NEW
TXN-0045,ACC-NEW-5889,ACC-NEW-1771,205400,2025-07-05 10:00:00,INV-NEW
TXN-0046,ACC-NEW-3646,ACC-NEW-3803,33130,2025-08-03 18:00:00,INV-NEW
TXN-0047,ACC-NEW-1106,ACC-NEW-1053,659510,2025-07-09 11:00:00,INV-NEW
TXN-0048,ACC-NEW-3060,ACC-NEW-5374,973950,2025-07-06 19:00:00,INV-NEW
TXN-0049,ACC-NEW-4432,ACC-NEW-3621,571370,2025-07-24 20:00:00,INV-NEW
TXN-0050,ACC-NEW-6514,ACC-NEW-5552,155080,2025-08-06 12:00:00,INV-NEW
TXN-0051,ACC-NEW-9797,ACC-NEW-1949,668140,2025-07-31 20:00:00,INV-NEW
TXN-0052,ACC-NEW-2040,ACC-NEW-6313,764420,2025-07-30 13:00:00,INV-NEW
TXN-0053,ACC-NEW-9179,ACC-NEW-7543,515970,2025-08-06 17:00:00,INV-NEW
TXN-0054,ACC-NEW-5333,ACC-NEW-3621,502240,2025-07-07 11:00:00,INV-NEW
TXN-0055,ACC-NEW-4258,ACC-NEW-2876,292900,2025-07-14 13:00:00,INV-NEW
TXN-0056,ACC-NEW-8019,ACC-NEW-4527,491890,2025-08-05 12:00:00,INV-NEW
TXN-0057,ACC-NEW-9935,ACC-NEW-5374,370310,2025-07-16 20:00:00,INV-NEW
TXN-0058,ACC-NEW-4456,ACC-NEW-6514,260190,2025-07-01 17:00:00,INV-NEW
TXN-0059,ACC-NEW-9279,ACC-NEW-5506,862090,2025-07-30 13:00:00,INV-NEW
TXN-0060,ACC-NEW-8428,ACC-NEW-5386,884070,2025-07-20 11:00:00,INV-NEW
TXN-0061,ACC-NEW-1949,ACC-NEW-3621,663570,2025-07-27 17:00:00,INV-NEW
TXN-0062,ACC-NEW-1949,ACC-NEW-4150,840170,2025-07-16 21:00:00,INV-NEW
TXN-0063,ACC-NEW-5803,ACC-NEW-1053,48180,2025-07-04 20:00:00,INV-NEW
TXN-0064,ACC-NEW-6947,ACC-NEW-3646,605890,2025-08-08 18:00:00,INV-NEW
TXN-0065,ACC-NEW-1319,ACC-NEW-2133,336260,2025-07-02 15:00:00,INV-NEW
TXN-0066,ACC-NEW-5386,ACC-NEW-5808,10840,2025-07-11 19:00:00,INV-NEW
TXN-0067,ACC-NEW-5386,ACC-NEW-2584,770840,2025-07-15 20:00:00,INV-NEW
TXN-0068,ACC-NEW-3591,ACC-NEW-5506,953610,2025-07-09 10:00:00,INV-NEW
TXN-0069,ACC-NEW-6947,ACC-NEW-3045,464430,2025-07-27 17:00:00,INV-NEW
TXN-0070,ACC-NEW-6313,ACC-NEW-1771,815190,2025-08-09 14:00:00,INV-NEW
TXN-0071,ACC-NEW-7916,ACC-NEW-5889,297030,2025-07-24 20:00:00,INV-NEW
TXN-0072,ACC-NEW-4258,ACC-NEW-2824,526090,2025-07-31 19:00:00,INV-NEW
TXN-0073,ACC-NEW-5339,ACC-NEW-2876,295800,2025-07-09 14:00:00,INV-NEW
TXN-0074,ACC-NEW-8019,ACC-NEW-9179,450580,2025-07-11 17:00:00,INV-NEW
TXN-0075,ACC-NEW-7227,ACC-NEW-3591,68420,2025-08-09 12:00:00,INV-NEW
TXN-0076,ACC-NEW-9935,ACC-NEW-7252,754390,2025-07-23 19:00:00,INV-NEW
TXN-0077,ACC-NEW-2519,ACC-NEW-3591,865310,2025-07-25 19:00:00,INV-NEW
TXN-0078,ACC-NEW-5371,ACC-NEW-5422,317260,2025-07-07 11:00:00,INV-NEW
TXN-0079,ACC-NEW-5371,ACC-NEW-3045,831070,2025-07-19 14:00:00,INV-NEW
TXN-0080,ACC-NEW-9928,ACC-NEW-2824,158970,2025-07-18 12:00:00,INV-NEW
TXN-0081,ACC-NEW-8787,ACC-NEW-3646,167760,2025-08-05 10:00:00,INV-NEW
TXN-0082,ACC-NEW-6313,ACC-NEW-4150,388560,2025-07-23 13:00:00,INV-NEW
TXN-0083,ACC-NEW-2519,ACC-NEW-7924,412980,2025-07-02 17:00:00,INV-NEW
TXN-0084,ACC-NEW-1711,ACC-NEW-9348,922120,2025-08-08 14:00:00,INV-NEW
TXN-0085,ACC-NEW-8962,ACC-NEW-1106,136550,2025-07-08 13:00:00,INV-NEW
TXN-0086,ACC-NEW-1949,ACC-NEW-6310,190720,2025-07-13 14:00:00,INV-NEW
TXN-0087,ACC-NEW-4432,ACC-NEW-1053,632720,2025-07-01 11:00:00,INV-NEW
TXN-0088,ACC-NEW-3615,ACC-NEW-3045,11440,2025-07-18 21:00:00,INV-NEW
TXN-0089,ACC-NEW-2040,ACC-NEW-6514,549980,2025-08-08 21:00:00,INV-NEW
TXN-0090,ACC-NEW-6635,ACC-NEW-4257,901410,2025-07-02 14:00:00,INV-NEW
TXN-0091,ACC-NEW-7252,ACC-NEW-2519,714360,2025-08-08 12:00:00,INV-NEW
TXN-0092,ACC-NEW-6313,ACC-NEW-2584,314610,2025-08-10 19:00:00,INV-NEW
TXN-0093,ACC-NEW-2519,ACC-NEW-5808,363690,2025-08-05 14:00:00,INV-NEW
TXN-0094,ACC-NEW-8527,ACC-NEW-3646,430270,2025-07-01 15:00:00,INV-NEW
TXN-0095,ACC-NEW-9279,ACC-NEW-8517,48430,2025-07-07 12:00:00,INV-NEW
TXN-0096,ACC-NEW-6313,ACC-NEW-5315,11600,2025-07-07 19:00:00,INV-NEW
TXN-0097,ACC-NEW-2291,ACC-NEW-9727,969980,2025-07-26 13:00:00,INV-NEW
TXN-0098,ACC-NEW-9179,ACC-NEW-8527,286590,2025-07-06 09:00:00,INV-NEW
TXN-0099,ACC-NEW-1525,ACC-NEW-4258,163080,2025-08-04 18:00:00,INV-NEW
TXN-0100,ACC-NEW-9830,ACC-NEW-6038,469960,2025-07-04 17:00:00,INV-NEW
TXN-0101,ACC-NEW-9928,ACC-NEW-3803,731100,2025-08-07 17:00:00,INV-NEW
TXN-0102,ACC-NEW-4598,ACC-NEW-4582,489750,2025-07-24 14:00:00,INV-NEW
TXN-0103,ACC-NEW-2291,ACC-NEW-6168,592630,2025-07-22 13:00:00,INV-NEW
TXN-0104,ACC-NEW-3803,ACC-NEW-8962,913760,2025-07-06 15:00:00,INV-NEW
TXN-0105,ACC-NEW-2291,ACC-NEW-6155,306470,2025-07-29 21:00:00,INV-NEW
TXN-0106,ACC-NEW-4527,ACC-NEW-9348,62660,2025-07-03 12:00:00,INV-NEW
TXN-0107,ACC-NEW-4582,ACC-NEW-2489,658030,2025-07-05 19:00:00,INV-NEW
TXN-0108,ACC-NEW-2290,ACC-NEW-6947,928710,2025-07-01 17:00:00,INV-NEW
TXN-0109,ACC-NEW-6573,ACC-NEW-9689,385170,2025-08-10 16:00:00,INV-NEW
TXN-0110,ACC-NEW-6977,ACC-NEW-4582,178890,2025-07-18 09:00:00,INV-NEW
TXN-0111,ACC-NEW-7912,ACC-NEW-6573,468170,2025-07-30 14:00:00,INV-NEW
TXN-0112,ACC-NEW-1188,ACC-NEW-5557,143990,2025-07-11 20:00:00,INV-NEW
TXN-0113,ACC-NEW-5119,ACC-NEW-7916,242020,2025-07-21 20:00:00,INV-NEW
TXN-0114,ACC-NEW-1106,ACC-NEW-5339,660000,2025-07-29 19:00:00,INV-NEW
TXN-0115,ACC-NEW-6635,ACC-NEW-6155,266430,2025-07-17 18:00:00,INV-NEW
TXN-0116,ACC-NEW-5889,ACC-NEW-2290,43420,2025-08-06 17:00:00,INV-NEW
TXN-0117,ACC-NEW-9928,ACC-NEW-8527,301860,2025-07-22 16:00:00,INV-NEW
TXN-0118,ACC-NEW-9348,ACC-NEW-8962,821450,2025-07-09 21:00:00,INV-NEW
TXN-0119,ACC-NEW-8787,ACC-NEW-6155,385540,2025-07-09 19:00:00,INV-NEW
TXN-0120,ACC-NEW-9279,ACC-NEW-4611,602720,2025-07-02 14:00:00,INV-NEW
TXN-0121,ACC-NEW-1434,ACC-NEW-1106,921950,2025-08-08 17:00:00,INV-NEW
TXN-0122,ACC-NEW-5506,ACC-NEW-9727,486380,2025-07-15 15:00:00,INV-NEW
TXN-0123,ACC-NEW-9179,ACC-NEW-5374,583920,2025-07-07 14:00:00,INV-NEW
TXN-0124,ACC-NEW-4657,ACC-NEW-1771,690400,2025-07-11 10:00:00,INV-NEW
TXN-0125,ACC-NEW-5889,ACC-NEW-5386,377230,2025-08-07 19:00:00,INV-NEW
TXN-0126,ACC-NEW-1771,ACC-NEW-2876,461810,2025-07-31 20:00:00,INV-NEW
TXN-0127,ACC-NEW-9797,ACC-NEW-3646,746840,2025-08-01 14:00:00,INV-NEW
TXN-0128,ACC-NEW-4258,ACC-NEW-5557,110290,2025-08-02 09:00:00,INV-NEW
TXN-0129,ACC-NEW-8527,ACC-NEW-9179,771040,2025-07-24 15:00:00,INV-NEW
TXN-0130,ACC-NEW-3504,ACC-NEW-9727,44590,2025-07-05 12:00:00,INV-NEW
TXN-0131,ACC-NEW-4150,ACC-NEW-9179,547610,2025-07-26 20:00:00,INV-NEW
TXN-0132,ACC-NEW-8019,ACC-NEW-1188,693510,2025-08-09 19:00:00,INV-NEW
TXN-0133,ACC-NEW-6038,ACC-NEW-1188,688030,2025-07-17 20:00:00,INV-NEW
TXN-0134,ACC-NEW-4611,ACC-NEW-4582,711390,2025-07-06 09:00:00,INV-NEW
TXN-0135,ACC-NEW-5371,ACC-NEW-8527,400470,2025-07-12 13:00:00,INV-NEW
TXN-0136,ACC-NEW-4456,ACC-NEW-3803,232490,2025-07-07 10:00:00,INV-NEW
TXN-0137,ACC-NEW-3045,ACC-NEW-8019,829120,2025-07-29 20:00:00,INV-NEW
TXN-0138,ACC-NEW-5506,ACC-NEW-5371,375860,2025-07-17 16:00:00,INV-NEW
TXN-0139,ACC-NEW-7543,ACC-NEW-4432,935790,2025-08-10 12:00:00,INV-NEW
TXN-0140,ACC-NEW-7543,ACC-NEW-1106,298130,2025-08-02 19:00:00,INV-NEW
TXN-0141,ACC-NEW-3803,ACC-NEW-3621,703680,2025-07-27 16:00:00,INV-NEW
TXN-0142,ACC-NEW-1711,ACC-NEW-3927,212430,2025-07-06 10:00:00,INV-NEW
TXN-0143,ACC-NEW-4733,ACC-NEW-2139,508140,2025-07-09 17:00:00,INV-NEW
TXN-0144,ACC-NEW-8019,ACC-NEW-1525,116130,2025-07-19 17:00:00,INV-NEW
TXN-0145,ACC-NEW-6514,ACC-NEW-8428,565700,2025-07-21 17:00:00,INV-NEW
TXN-0146,ACC-NEW-5333,ACC-NEW-6925,806590,2025-08-10 12:00:00,INV-NEW
TXN-0147,ACC-NEW-4814,ACC-NEW-9928,355580,2025-07-23 19:00:00,INV-NEW
TXN-0148,ACC-NEW-1188,ACC-NEW-5422,217020,2025-08-05 21:00:00,INV-NEW
TXN-0149,ACC-NEW-2291,ACC-NEW-9348,429930,2025-07-23 15:00:00,INV-NEW
TXN-0150,ACC-NEW-2584,ACC-NEW-2679,156620,2025-07-29 16:00:00,INV-NEW
TXN-0151,ACC-NEW-5889,ACC-NEW-4456,122000,2025-07-06 12:00:00,INV-NEW
TXN-0152,ACC-NEW-1711,ACC-NEW-9348,824510,2025-07-04 10:00:00,INV-NEW
TXN-0153,ACC-NEW-7252,ACC-NEW-6573,963230,2025-07-07 20:00:00,INV-NEW
TXN-0154,ACC-NEW-5808,ACC-NEW-5557,79990,2025-07-03 17:00:00,INV-NEW
TXN-0155,ACC-NEW-4593,ACC-NEW-8527,700380,2025-07-29 19:00:00,INV-NEW
TXN-0156,ACC-NEW-4257,ACC-NEW-6038,758360,2025-07-28 11:00:00,INV-NEW
TXN-0157,ACC-NEW-3615,ACC-NEW-2743,380080,2025-07-04 20:00:00,INV-NEW
TXN-0158,ACC-NEW-8527,ACC-NEW-5557,458050,2025-07-30 10:00:00,INV-NEW
TXN-0159,ACC-NEW-1525,ACC-NEW-1916,338350,2025-07-16 14:00:00,INV-NEW
TXN-0160,ACC-NEW-8019,ACC-NEW-5371,217990,2025-08-08 12:00:00,INV-NEW
TXN-0161,ACC-NEW-4527,ACC-NEW-2139,771810,2025-07-12 18:00:00,INV-NEW
TXN-0162,ACC-NEW-2169,ACC-NEW-8527,125130,2025-07-31 16:00:00,INV-NEW
TXN-0163,ACC-NEW-1525,ACC-NEW-5371,259920,2025-08-07 09:00:00,INV-NEW
TXN-0164,ACC-NEW-9830,ACC-NEW-9928,298110,2025-07-13 16:00:00,INV-NEW
TXN-0165,ACC-NEW-8962,ACC-NEW-2489,507640,2025-07-21 20:00:00,INV-NEW
TXN-0166,ACC-NEW-4598,ACC-NEW-9348,402510,2025-08-09 14:00:00,INV-NEW
TXN-0167,ACC-NEW-5119,ACC-NEW-2040,275950,2025-07-09 12:00:00,INV-NEW
TXN-0168,ACC-NEW-5371,ACC-NEW-2876,506760,2025-08-08 17:00:00,INV-NEW
TXN-0169,ACC-NEW-4432,ACC-NEW-8787,510430,2025-07-02 13:00:00,INV-NEW
TXN-0170,ACC-NEW-3621,ACC-NEW-5119,452810,2025-07-28 19:00:00,INV-NEW
TXN-0171,ACC-NEW-5506,ACC-NEW-1771,837950,2025-07-14 21:00:00,INV-NEW
TXN-0172,ACC-NEW-7912,ACC-NEW-7916,138010,2025-07-11 13:00:00,INV-NEW
TXN-0173,ACC-NEW-9689,ACC-NEW-8428,594340,2025-07-22 16:00:00,INV-NEW
TXN-0174,ACC-NEW-2824,ACC-NEW-6155,818040,2025-08-08 13:00:00,INV-NEW
TXN-0175,ACC-NEW-6947,ACC-NEW-1949,487740,2025-07-24 12:00:00,INV-NEW
TXN-0176,ACC-NEW-1319,ACC-NEW-9830,13990,2025-07-21 10:00:00,INV-NEW
TXN-0177,ACC-NEW-9830,ACC-NEW-5506,483520,2025-08-10 21:00:00,INV-NEW
TXN-0178,ACC-NEW-9928,ACC-NEW-3621,789630,2025-07-21 21:00:00,INV-NEW
TXN-0179,ACC-NEW-1771,ACC-NEW-6514,6550,2025-07-20 14:00:00,INV-NEW
TXN-0180,ACC-NEW-8962,ACC-NEW-2290,977580,2025-07-30 18:00:00,INV-NEW
TXN-0181,ACC-NEW-6947,ACC-NEW-7924,93760,2025-07-23 16:00:00,INV-NEW
TXN-0182,ACC-NEW-3060,ACC-NEW-3927,331230,2025-07-17 11:00:00,INV-NEW
TXN-0183,ACC-NEW-6977,ACC-NEW-1771,849380,2025-07-18 11:00:00,INV-NEW
TXN-0184,ACC-NEW-3803,ACC-NEW-9348,219230,2025-08-04 21:00:00,INV-NEW
TXN-0185,ACC-NEW-8428,ACC-NEW-5808,645060,2025-07-21 15:00:00,INV-NEW
TXN-0186,ACC-NEW-2169,ACC-NEW-2824,502650,2025-08-02 15:00:00,INV-NEW
TXN-0187,ACC-NEW-3504,ACC-NEW-8962,647410,2025-08-01 09:00:00,INV-NEW
TXN-0188,ACC-NEW-1949,ACC-NEW-3646,128930,2025-07-01 16:00:00,INV-NEW
TXN-0189,ACC-NEW-6514,ACC-NEW-1916,455390,2025-08-02 17:00:00,INV-NEW
TXN-0190,ACC-NEW-6038,ACC-NEW-5808,399260,2025-08-10 14:00:00,INV-NEW
TXN-0191,ACC-NEW-7543,ACC-NEW-4733,258320,2025-08-08 18:00:00,INV-NEW
TXN-0192,ACC-NEW-5889,ACC-NEW-7916,946580,2025-07-04 17:00:00,INV-NEW
TXN-0193,ACC-NEW-1771,ACC-NEW-4611,636630,2025-08-02 21:00:00,INV-NEW
TXN-0194,ACC-NEW-8962,ACC-NEW-1434,526540,2025-07-20 13:00:00,INV-NEW
TXN-0195,ACC-NEW-7252,ACC-NEW-5741,803660,2025-08-05 09:00:00,INV-NEW
TXN-0196,ACC-NEW-5808,ACC-NEW-3045,931000,2025-07-22 16:00:00,INV-NEW
TXN-0197,ACC-NEW-5333,ACC-NEW-6514,911400,2025-07-13 17:00:00,INV-NEW
TXN-0198,ACC-NEW-1106,ACC-NEW-4150,347100,2025-07-11 10:00:00,INV-NEW
TXN-0199,ACC-NEW-6977,ACC-NEW-5339,922430,2025-08-03 11:00:00,INV-NEW
TXN-0200,ACC-NEW-7924,ACC-NEW-2584,610520,2025-07-09 12:00:00,INV-NEW
TXN-0201,ACC-NEW-4456,ACC-NEW-4593,66500,2025-07-26 10:00:00,INV-NEW
TXN-0202,ACC-NEW-5889,ACC-NEW-5422,323230,2025-07-14 13:00:00,INV-NEW
TXN-0203,ACC-NEW-5557,ACC-NEW-7924,937510,2025-08-03 12:00:00,INV-NEW
TXN-0204,ACC-NEW-5010,ACC-NEW-9317,630800,2025-07-27 19:00:00,INV-NEW
TXN-0205,ACC-NEW-4657,ACC-NEW-5119,343090,2025-07-25 14:00:00,INV-NEW
TXN-0206,ACC-NEW-7126,ACC-NEW-4257,479460,2025-08-07 17:00:00,INV-NEW
TXN-0207,ACC-NEW-1319,ACC-NEW-8428,600200,2025-07-07 13:00:00,INV-NEW
TXN-0208,ACC-NEW-5333,ACC-NEW-5557,618200,2025-08-01 17:00:00,INV-NEW
TXN-0209,ACC-NEW-5315,ACC-NEW-2824,99570,2025-07-05 14:00:00,INV-NEW
TXN-0210,ACC-NEW-6313,ACC-NEW-6925,242640,2025-07-17 20:00:00,INV-NEW
TXN-0211,ACC-NEW-7924,ACC-NEW-4657,769940,2025-08-03 11:00:00,INV-NEW
TXN-0212,ACC-NEW-5741,ACC-NEW-4432,206120,2025-07-02 11:00:00,INV-NEW
TXN-0213,ACC-NEW-2876,ACC-NEW-3646,769220,2025-08-07 16:00:00,INV-NEW
TXN-0214,ACC-NEW-1319,ACC-NEW-9935,894900,2025-07-21 19:00:00,INV-NEW
TXN-0215,ACC-NEW-2133,ACC-NEW-1488,861190,2025-07-31 21:00:00,INV-NEW
TXN-0216,ACC-NEW-8787,ACC-NEW-8668,687880,2025-07-23 09:00:00,INV-NEW
TXN-0217,ACC-NEW-9797,ACC-NEW-5803,364530,2025-08-02 16:00:00,INV-NEW
TXN-0218,ACC-NEW-4611,ACC-NEW-2290,716260,2025-08-06 16:00:00,INV-NEW
TXN-0219,ACC-NEW-2584,ACC-NEW-8787,577120,2025-08-06 16:00:00,INV-NEW
TXN-0220,ACC-NEW-6313,ACC-NEW-3646,329690,2025-07-12 11:00:00,INV-NEW
TXN-0221,ACC-NEW-1434,ACC-NEW-5386,754790,2025-07-14 16:00:00,INV-NEW
TXN-0222,ACC-NEW-4257,ACC-NEW-6977,84710,2025-07-12 11:00:00,INV-NEW
TXN-0223,ACC-NEW-6168,ACC-NEW-4257,980910,2025-08-10 11:00:00,INV-NEW
TXN-0224,ACC-NEW-2743,ACC-NEW-9935,635290,2025-07-11 14:00:00,INV-NEW
TXN-0225,ACC-NEW-3060,ACC-NEW-2489,409270,2025-07-01 19:00:00,INV-NEW
TXN-0226,ACC-NEW-7126,ACC-NEW-5119,942850,2025-07-03 18:00:00,INV-NEW
TXN-0227,ACC-NEW-1188,ACC-NEW-3646,931900,2025-07-30 16:00:00,INV-NEW
TXN-0228,ACC-NEW-8019,ACC-NEW-8787,668680,2025-07-09 19:00:00,INV-NEW
TXN-0229,ACC-NEW-8019,ACC-NEW-9727,355760,2025-07-12 13:00:00,INV-NEW
TXN-0230,ACC-NEW-1188,ACC-NEW-3803,652390,2025-08-04 19:00:00,INV-NEW
TXN-0231,ACC-NEW-2489,ACC-NEW-1188,62430,2025-08-04 16:00:00,INV-NEW
TXN-0232,ACC-NEW-1053,ACC-NEW-1949,774880,2025-07-21 20:00:00,INV-NEW
TXN-0233,ACC-NEW-2519,ACC-NEW-7916,620070,2025-08-06 14:00:00,INV-NEW
TXN-0234,ACC-NEW-1488,ACC-NEW-7252,110280,2025-07-09 18:00:00,INV-NEW
TXN-0235,ACC-NEW-5386,ACC-NEW-8573,668550,2025-07-20 16:00:00,INV-NEW
TXN-0236,ACC-NEW-2291,ACC-NEW-8787,156840,2025-07-07 19:00:00,INV-NEW
TXN-0237,ACC-NEW-1711,ACC-NEW-6155,258500,2025-07-29 19:00:00,INV-NEW
TXN-0238,ACC-NEW-8527,ACC-NEW-5040,329630,2025-07-02 19:00:00,INV-NEW
TXN-0239,ACC-NEW-5339,ACC-NEW-1525,754330,2025-07-19 19:00:00,INV-NEW
TXN-0240,ACC-NEW-1434,ACC-NEW-2519,649990,2025-07-23 15:00:00,INV-NEW
TXN-0241,ACC-NEW-5506,ACC-NEW-4582,676770,2025-08-07 17:00:00,INV-NEW
TXN-0242,ACC-NEW-2139,ACC-NEW-3615,337430,2025-07-29 16:00:00,INV-NEW
TXN-0243,ACC-NEW-8517,ACC-NEW-5889,70070,2025-08-07 15:00:00,INV-NEW
TXN-0244,ACC-NEW-4527,ACC-NEW-7543,443270,2025-07-02 21:00:00,INV-NEW
TXN-0245,ACC-NEW-8517,ACC-NEW-2743,429780,2025-07-12 18:00:00,INV-NEW
TXN-0246,ACC-NEW-1106,ACC-NEW-2290,967640,2025-08-06 14:00:00,INV-NEW
TXN-0247,ACC-NEW-5040,ACC-NEW-1949,135440,2025-08-02 12:00:00,INV-NEW
TXN-0248,ACC-NEW-9935,ACC-NEW-8787,609180,2025-08-08 17:00:00,INV-NEW
TXN-0249,ACC-NEW-2679,ACC-NEW-4432,488400,2025-07-09 16:00:00,INV-NEW
TXN-0250,ACC-NEW-6514,ACC-NEW-2519,649440,2025-07-09 13:00:00,INV-NEW
TXN-0251,ACC-NEW-6313,ACC-NEW-1711,116950,2025-08-07 20:00:00,INV-NEW
TXN-0252,ACC-NEW-5889,ACC-NEW-1106,180340,2025-07-04 10:00:00,INV-NEW
TXN-0253,ACC-NEW-2169,ACC-NEW-6310,950350,2025-08-02 21:00:00,INV-NEW
TXN-0254,ACC-NEW-1771,ACC-NEW-2584,492790,2025-07-06 21:00:00,INV-NEW
TXN-0255,ACC-NEW-3646,ACC-NEW-9348,759260,2025-08-05 15:00:00,INV-NEW
TXN-0256,ACC-NEW-6573,ACC-NEW-6947,143420,2025-07-13 21:00:00,INV-NEW
TXN-0257,ACC-NEW-8019,ACC-NEW-6977,34140,2025-08-10 17:00:00,INV-NEW
TXN-0258,ACC-NEW-5552,ACC-NEW-6947,665920,2025-07-26 17:00:00,INV-NEW
TXN-0259,ACC-NEW-4733,ACC-NEW-2743,964490,2025-07-11 20:00:00,INV-NEW
TXN-0260,ACC-NEW-2876,ACC-NEW-2743,682870,2025-07-03 10:00:00,INV-NEW
TXN-0261,ACC-NEW-3060,ACC-NEW-4611,684600,2025-07-22 21:00:00,INV-NEW
TXN-0262,ACC-NEW-8573,ACC-NEW-4611,627640,2025-07-21 09:00:00,INV-NEW
TXN-0263,ACC-NEW-5422,ACC-NEW-1949,779700,2025-07-10 16:00:00,INV-NEW
TXN-0264,ACC-NEW-5119,ACC-NEW-1488,478100,2025-08-04 17:00:00,INV-NEW
TXN-0265,ACC-NEW-1771,ACC-NEW-9928,180060,2025-08-08 11:00:00,INV-NEW
TXN-0266,ACC-NEW-6635,ACC-NEW-8517,807000,2025-07-16 09:00:00,INV-NEW
TXN-0267,ACC-NEW-4611,ACC-NEW-5040,390350,2025-07-27 11:00:00,INV-NEW
